Address,City,Name,postalcode,premid,state,latitude,longitude
"163, fake Street",Carthage,my_farm_name_B,62321,376DQUF,IL,42.04312,-94.73784
"677, fake Street",Edison,my_farm_name_C,68936,088WKFT,NE,41.99145,-103.34611
"154, fake Street",Bethany,my_farm_name_J,64424,225ZGAJ,MO,41.90538,-97.56184
"707, fake Street",Clay Center,my_farm_name_B,68933,180UCBY,NE,42.10786,-101.59227
"217, fake Street",Albion,my_farm_name_E,46701,582PHBR,IN,42.97002,-88.94877
"308, fake Street",Hampton,my_farm_name_I,50441,360FDCZ,IA,44.33265,-96.68334
"026, fake Street",Shelby,my_farm_name_C,51570,733DTME,IA,43.07102,-99.01941
"813, fake Street",Edison,my_farm_name_H,68936,715ELOH,NE,41.87143,-103.33981
"582, fake Street",Pittsfield,my_farm_name_B,62363,325UDIW,IL,41.0829,-94.3104
"501, fake Street",Leopold,my_farm_name_J,47551,671HMJV,IN,39.67177,-90.09549
