id,account_company,new_movement_reason,new_species,new_origin_premid,new_destination_premid,new_num_of_item_moved,new_shipment_start_date
1,Mypigcompany,FINISH TO FINISH,Swine,376DQUF,778EYUX,1000,2011-04-18
2,Mypigcompany,SOW TO FINISH,Swine,088WKFT,464KBIF,1000,2011-04-18
3,Mypigcompany,SOW TO NURSERY,Swine,225ZGAJ,477EDVX,1000,2011-04-18
4,Mypigcompany,WTF TO FINISH,Swine,180UCBY,611ULSK,1000,2011-04-18
5,Mypigcompany,WTF TO FINISH,Swine,582PHBR,027RDXY,1000,2011-04-18
6,Mypigcompany,FINISH TO FINISH,Swine,360FDCZ,220FAPG,1000,2011-04-18
7,Mypigcompany,WTF TO FINISH,Swine,733DTME,554DGRT,1000,2011-04-18
8,Mypigcompany,SOW TO NURSERY,Swine,715ELOH,853OBOV,1000,2011-04-18
9,Mypigcompany,SOW TO WTF,Swine,325UDIW,453YIAE,1000,2011-04-18
10,Mypigcompany,SOW TO FINISH,Swine,671HMJV,730AOYL,1000,2011-04-18
11,Mypigcompany,SOW TO FINISH,Swine,671HMJV,730AOYL,1000,2011-04-18
12,Mypigcompany,SOW TO FINISH,Swine,671HMJV,730AOYL,1000,2011-04-18
13,Mypigcompany,SOW TO FINISH,Swine,180UCBY,088WKFT,500,2011-04-18
